cnae,risco,codigo_louos,enquadramento1,perguntas,regras,condicionantes
1731-1/00,MÉDIO RISCO,09.16.03,ID3-16,11,22,1|3|4|7|8|10
1731-1/00,MÉDIO RISCO,07.09.01,nR1-09,11,22,1|3|4
1731-1/00,MÉDIO RISCO,07.12.13,nR1-12,11,22,1|30
1732-0/00,MÉDIO RISCO,09.16.03,ID3-16,11,22,1|3|4|7|8|10
1732-0/00,MÉDIO RISCO,07.09.01,nR1-09,11,22,1|3|4
1732-0/00,MÉDIO RISCO,07.12.13,nR1-12,11,22,1|30
1733-8/00,MÉDIO RISCO,09.16.03,ID3-16,11,22,1|3|4|7|8|10
1733-8/00,MÉDIO RISCO,07.09.01,nR1-09,11,22,1|3|4
1733-8/00,MÉDIO RISCO,07.12.13,nR1-12,11,22,1|30
1741-9/01,ALTO,09.16.01,ID1-16,11,5,1|3|4|7|8|10
1741-9/01,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1741-9/02,ALTO,09.16.01,ID1-16,2|3,58|59,1|3|4|7|8|10
1741-9/02,MÉDIO RISCO,07.09.01,nR1-09,2|3,58|59,1|3|4
1741-9/02,BAIXO RISCO,07.12.13,nR1-12,2|3,58|59,1|30
1742-7/01,ALTO,09.16.01,ID1-16,11,47,1|3|4|7|8|10
1742-7/01,ALTO,07.09.17,nR1-09,11,47,1|3|4
1742-7/01,ALTO,07.12.13,nR1-12,11,47,1|30
1742-7/02,ALTO,09.16.01,ID1-16,11,49,1|3|4|7|8|10
1742-7/02,ALTO,07.12.13,nR1-12,11,49,1|30
1742-7/99,ALTO,09.16.01,ID1-16,2|3,58|59,1|3|4|7|8|10
1742-7/99,MÉDIO RISCO,07.09.01,nR1-09,2|3,58|59,1|3|4
